Year,Unemployment_Rate,Tertiary_Enrolment
1991,23.137,11.8450698852539
1992,23.463,12.3273200988769
1993,23.361,13.6232995986938
1994,23.067,15.7045001983643
2012,24.727,17.9447234835981
2013,24.561,18.6088225305342
2014,24.89,18.4813356370067
2015,25.149,19.0332949537661
2016,26.536,18.9292980324153
2017,27.035,21.0902909603212
2018,26.906,22.3515425184231
2019,28.468,22.2442465104023
2020,29.217,22.6148742572009
2021,34.007,22.3431289991291
2022,33.268,23.7271036201865
2023,32.098,23.493768799339
